Student_ID,Subject,Study_Hours,Attendance,CAM_Percent,Previous_Marks,CAT1_Raw,CAT2_Raw,TEE_Raw,Final_Score_100
31,Fundamentals in AI and ML,7.6,80.6,74.7,37.4,17.9,38.0,67.4,68.14
32,Data Structures,7.5,64.2,83.0,49.3,28.9,38.5,47.5,63.52
33,Data Structures,7.5,97.1,40.6,72.3,34.7,18.5,65.3,54.76
34,Physics,2.9,97.0,92.9,87.8,27.9,20.5,87.5,78.28
35,Data Structures,5.3,99.4,79.2,35.5,43.6,25.5,74.8,75.89
36,Programming,2.9,95.0,84.5,44.3,24.9,22.4,50.7,63.98
37,Data Structures,4.5,66.3,94.5,38.0,37.2,44.0,28.3,65.92
38,Data Structures,6.4,83.7,55.7,79.5,34.3,30.0,25.7,51.49
39,Fundamentals in AI and ML,7.6,86.1,48.9,37.2,27.9,34.3,57.2,57.94
40,Fundamentals in AI and ML,3.2,95.5,87.8,86.6,46.5,22.4,43.7,69.51
41,Fundamentals in AI and ML,3.5,80.2,92.5,93.4,41.2,47.4,42.8,76.8
42,Programming,7.8,91.5,92.9,36.5,40.8,26.6,94.8,86.17
43,Programming,2.9,90.4,46.5,87.3,45.1,22.8,86.2,67.5
44,Mathematics,3.4,91.9,92.3,48.4,38.1,28.9,45.9,71.17
45,Fundamentals in AI and ML,7.8,67.6,78.5,59.0,49.3,33.8,95.4,81.03
46,Fundamentals in AI and ML,7.1,66.8,74.8,94.0,16.3,35.9,50.9,57.11
47,Data Structures,4.1,99.3,46.9,89.0,21.7,16.6,57.7,50.22
48,Physics,7.5,79.2,83.2,79.5,38.5,27.7,30.2,63.04
49,Data Structures,5.4,84.9,47.5,89.0,32.7,38.3,49.5,57.77
50,Data Structures,4.9,63.6,79.9,57.7,41.2,21.1,67.7,66.97
51,Mathematics,4.8,55.0,57.2,60.8,35.3,37.9,59.9,59.95
52,Mathematics,5.7,78.0,87.6,92.6,40.8,38.1,46.3,73.22
53,Physics,3.3,91.8,85.1,75.4,22.9,22.0,26.8,56.29
54,Programming,7.9,82.5,86.1,62.3,46.0,35.1,78.9,83.13
55,Mathematics,4.5,66.0,79.4,35.3,41.3,42.0,33.0,62.68
56,Mathematics,2.5,91.2,81.8,62.9,34.5,47.1,34.1,68.34
57,Programming,6.6,85.0,99.3,70.7,48.3,46.2,70.9,89.38
58,Physics,4.0,95.8,66.8,44.5,45.2,30.8,81.4,75.6
59,Data Structures,6.4,78.5,77.6,51.5,17.7,25.0,45.4,58.59
60,Data Structures,7.3,58.6,49.0,58.0,20.3,22.5,56.1,46.82
61,Data Structures,4.8,73.7,52.4,60.2,46.7,35.4,77.2,66.13
62,Physics,3.7,55.3,61.1,80.2,44.9,48.4,56.4,66.3
63,Physics,6.6,95.4,69.3,51.4,32.0,28.6,75.2,70.0
64,Mathematics,6.1,92.8,95.2,93.8,33.7,46.7,69.4,83.26
65,Fundamentals in AI and ML,1.6,74.3,92.0,45.9,24.1,26.5,59.1,65.11
66,Data Structures,6.3,72.1,85.1,84.9,23.8,17.9,26.5,50.24
67,Physics,1.4,97.8,53.5,39.1,48.5,16.4,27.3,51.39
68,Programming,2.4,55.9,49.1,42.6,38.4,34.7,41.3,51.5
69,Data Structures,6.4,62.6,76.4,79.9,19.0,43.7,97.4,74.77
70,Fundamentals in AI and ML,5.1,96.8,74.5,89.5,28.1,48.0,39.9,65.88
71,Physics,5.8,83.2,46.1,81.3,44.8,36.0,34.1,55.6
72,Physics,6.5,70.6,65.7,57.2,32.7,26.9,88.7,67.48
73,Mathematics,1.7,98.2,78.1,84.7,39.8,30.2,80.0,77.34
74,Data Structures,5.3,96.4,86.5,62.9,43.9,35.7,49.2,73.92
75,Programming,6.8,58.9,92.9,49.6,31.3,36.4,53.4,68.84
76,Fundamentals in AI and ML,4.5,69.6,69.3,56.3,24.0,24.8,69.7,59.8
77,Data Structures,4.9,78.2,51.5,49.5,29.2,34.4,43.0,55.0
78,Mathematics,5.5,77.1,87.6,40.6,22.8,39.2,48.0,68.66
79,Physics,3.6,79.9,60.6,94.8,34.3,27.3,59.0,62.39
80,Data Structures,2.8,60.4,51.6,42.2,33.8,41.7,38.9,52.38
81,Programming,6.2,67.4,75.4,80.6,35.9,49.3,87.4,78.17
82,Data Structures,2.6,63.1,40.8,67.0,24.6,49.1,66.5,56.34
83,Programming,5.5,88.9,46.2,35.7,25.0,31.8,50.6,53.39
84,Fundamentals in AI and ML,2.8,93.8,46.8,38.9,32.2,35.2,76.5,64.55
85,Programming,2.0,80.3,58.2,94.6,19.1,41.8,70.5,64.79
86,Physics,2.6,78.5,67.0,61.6,45.1,49.7,47.9,71.26
87,Physics,1.4,98.2,46.0,80.8,36.9,24.3,31.1,48.79
88,Programming,2.2,58.4,40.2,62.0,35.8,25.2,42.4,45.09
89,Data Structures,5.9,75.4,81.2,90.4,42.6,36.9,74.6,79.65
90,Programming,4.0,79.5,78.9,89.5,43.9,17.5,37.4,62.26
91,Data Structures,5.2,92.1,95.3,61.3,31.4,25.6,55.2,72.02
92,Data Structures,4.5,77.2,44.8,37.4,30.1,26.3,43.8,50.74
93,Fundamentals in AI and ML,2.6,85.3,91.6,70.2,15.7,41.8,86.6,80.29
94,Physics,1.3,89.0,68.2,74.1,47.1,21.4,68.9,70.09
95,Mathematics,7.8,76.2,64.5,54.3,18.7,20.6,55.9,56.14
96,Mathematics,3.0,97.5,88.8,68.0,30.9,26.0,49.2,67.91
97,Mathematics,7.1,92.1,40.1,87.2,31.2,16.9,63.9,52.64
98,Physics,6.3,83.1,85.6,47.2,34.2,47.5,57.9,76.84
99,Mathematics,1.8,98.8,76.5,49.4,20.5,34.3,66.4,68.13
100,Fundamentals in AI and ML,2.6,92.9,46.8,91.8,37.7,20.4,94.9,67.28
101,Data Structures,4.6,67.3,90.1,93.8,23.5,34.3,53.8,65.01
102,Physics,4.6,94.6,91.8,51.6,42.7,29.5,95.1,87.32
103,Physics,2.9,55.1,83.6,85.2,35.3,38.1,89.9,78.25
104,Mathematics,4.8,70.5,73.1,67.6,30.9,26.3,39.1,54.47
105,Programming,5.0,65.5,86.5,37.6,41.1,39.7,85.9,80.28
106,Mathematics,7.9,90.7,79.1,44.1,48.8,19.4,97.4,82.36
107,Data Structures,7.1,94.3,66.4,66.6,31.0,40.3,55.7,66.34
108,Programming,1.5,90.2,55.9,72.4,28.9,17.8,49.6,53.45
109,Physics,3.7,69.2,83.1,80.6,45.5,16.3,30.1,56.66
110,Data Structures,8.0,88.6,66.0,40.9,37.2,45.5,58.3,70.4
111,Data Structures,7.3,57.1,87.8,52.6,28.1,20.1,64.8,64.63
112,Physics,5.8,63.1,50.5,71.6,28.4,38.9,62.3,56.55
113,Physics,2.0,75.8,55.2,50.3,15.3,43.2,92.6,69.65
114,Physics,2.1,74.9,60.7,70.3,37.4,29.9,43.8,54.58
115,Data Structures,2.4,72.3,69.0,49.2,35.0,35.1,99.5,75.03
116,Data Structures,1.2,92.4,63.7,35.5,45.3,42.2,98.0,82.94
117,Physics,6.2,92.5,94.2,81.5,23.1,43.1,41.4,70.25
118,Programming,5.3,85.5,83.3,74.6,44.3,37.0,92.8,86.38
119,Fundamentals in AI and ML,3.2,74.8,74.8,78.9,18.2,25.3,81.1,63.56
120,Programming,2.4,90.4,92.6,57.0,32.6,24.5,37.3,65.73
121,Mathematics,7.8,68.3,92.2,83.3,31.4,17.6,81.6,71.45
122,Programming,7.0,87.6,98.8,93.0,43.2,27.8,84.3,86.17
123,Fundamentals in AI and ML,2.9,60.6,62.1,79.9,24.2,28.3,72.9,59.36
124,Data Structures,1.8,65.5,41.5,88.1,34.6,47.0,41.6,51.48
125,Fundamentals in AI and ML,5.4,75.9,82.1,74.0,19.1,16.6,27.8,52.78
126,Mathematics,1.8,65.6,72.3,58.3,28.0,48.2,77.2,71.33
127,Physics,3.9,88.4,49.3,59.9,18.5,32.1,55.6,54.12
128,Data Structures,1.2,71.7,66.6,92.0,44.9,18.5,76.4,65.25
129,Physics,7.3,84.0,43.6,51.6,48.9,48.2,86.8,75.43
130,Fundamentals in AI and ML,5.6,83.9,75.8,36.3,42.5,23.5,34.4,61.65
131,Physics,2.4,92.3,73.3,70.2,43.5,23.2,83.1,75.59
132,Physics,1.0,93.6,48.7,42.8,23.8,21.1,74.6,57.89
133,Fundamentals in AI and ML,1.9,71.1,87.3,70.3,15.6,24.3,34.5,52.88
134,Mathematics,4.7,88.6,68.6,81.7,33.0,18.8,62.8,63.39
135,Physics,1.3,90.2,92.0,66.3,31.0,48.7,29.6,69.99
136,Mathematics,6.9,74.2,46.5,77.7,30.5,46.5,49.2,54.14
137,Programming,1.5,67.4,78.0,67.9,26.4,49.8,64.8,69.6
138,Mathematics,4.5,74.4,87.6,41.9,37.9,45.7,66.4,75.66
139,Programming,4.0,95.0,64.8,84.6,29.0,40.5,48.4,63.05
140,Data Structures,5.7,71.8,49.2,90.4,17.3,44.1,32.0,45.24
141,Fundamentals in AI and ML,6.2,71.8,47.8,38.6,48.5,34.7,75.3,64.28
142,Mathematics,3.5,84.9,85.0,87.1,40.2,48.9,70.0,82.48
143,Data Structures,1.7,77.8,49.3,63.9,44.7,27.3,66.7,63.87
144,Fundamentals in AI and ML,6.3,80.8,88.4,85.7,49.1,43.6,71.0,85.05
145,Physics,1.2,96.8,89.8,51.0,21.3,39.6,48.2,69.16
146,Data Structures,3.5,63.2,48.6,74.4,17.4,40.9,97.9,63.87
147,Fundamentals in AI and ML,6.2,64.7,65.2,55.5,28.0,40.3,83.3,68.3
148,Physics,5.2,94.8,49.3,80.3,16.7,17.9,58.2,50.1
149,Mathematics,4.4,74.9,56.4,80.3,19.0,30.0,46.2,48.3
150,Physics,4.4,85.0,42.7,58.7,36.0,15.3,47.6,49.61
151,Programming,6.4,89.4,57.4,42.2,32.4,30.1,34.7,54.25
152,Physics,5.9,77.5,90.0,83.4,17.5,45.2,28.2,63.77
153,Fundamentals in AI and ML,4.2,58.5,58.8,60.8,29.2,37.4,46.7,54.57
154,Mathematics,1.1,69.6,88.1,72.1,44.1,47.2,31.6,67.7
155,Fundamentals in AI and ML,2.7,81.5,71.4,58.7,25.9,26.9,50.0,60.83
156,Programming,1.5,83.5,71.8,46.6,42.2,27.3,96.9,80.05
157,Programming,2.7,61.6,51.8,71.1,41.6,37.9,38.3,53.47
158,Mathematics,4.2,80.4,74.8,75.9,45.9,37.5,99.0,85.9
159,Data Structures,7.0,83.2,49.1,39.1,30.5,25.6,45.6,52.7
160,Fundamentals in AI and ML,3.5,58.3,67.7,37.3,27.9,25.0,73.3,61.55
161,Fundamentals in AI and ML,5.3,77.8,67.8,68.3,42.7,46.4,58.7,73.07
162,Physics,5.6,69.5,68.5,44.1,17.2,18.6,92.4,62.44
163,Data Structures,7.9,58.8,78.8,37.3,39.8,49.7,64.3,73.72
164,Physics,2.1,71.8,57.0,59.5,26.8,35.9,84.2,64.02
165,Data Structures,1.5,59.3,80.7,52.0,40.3,38.0,93.0,79.63
166,Programming,3.3,81.2,48.5,56.0,48.9,39.4,54.4,64.78
167,Physics,6.0,58.8,73.5,73.6,26.5,19.5,77.7,62.84
168,Physics,1.7,85.2,70.5,36.1,25.8,48.3,50.6,67.09
169,Mathematics,2.3,100.0,49.3,52.7,42.6,32.8,65.5,64.52
170,Physics,1.3,70.2,86.0,42.9,28.2,20.7,87.4,70.99
171,Physics,6.7,62.4,66.3,59.7,38.7,23.3,58.3,59.3
172,Data Structures,6.3,90.3,54.0,49.4,48.8,42.5,92.8,79.13
173,Programming,3.6,97.6,99.1,62.7,24.9,28.4,64.6,75.05
174,Programming,6.7,91.1,48.3,50.0,37.4,45.6,66.6,66.78
175,Fundamentals in AI and ML,6.0,78.2,47.5,40.0,20.6,30.7,63.5,56.06
176,Mathematics,1.6,96.0,89.0,88.1,47.6,29.5,54.7,75.69
177,Data Structures,2.7,99.8,62.5,36.7,47.6,44.4,73.7,76.59
178,Programming,2.0,67.9,89.8,76.8,19.9,39.7,58.6,66.89
179,Fundamentals in AI and ML,7.3,55.9,52.9,44.0,47.9,36.3,56.7,60.78
180,Data Structures,2.7,60.5,54.3,73.3,36.8,17.2,87.8,61.55
181,Mathematics,5.2,55.7,70.9,49.5,20.0,30.0,71.1,61.14
182,Programming,5.0,63.4,80.1,66.4,27.6,48.4,65.8,70.57
183,Physics,4.9,72.6,68.2,73.1,49.3,23.9,26.2,53.69
184,Fundamentals in AI and ML,3.4,88.0,77.7,81.3,40.7,26.6,28.3,60.88
185,Physics,3.4,83.9,89.8,76.1,49.3,31.7,38.7,72.34
186,Programming,1.4,89.9,67.5,52.6,16.5,22.0,28.1,48.6
187,Data Structures,4.6,99.5,72.6,50.2,41.4,21.7,51.8,64.88
188,Fundamentals in AI and ML,7.1,69.9,47.5,57.1,46.1,41.0,92.1,70.38
189,Mathematics,3.4,63.4,81.5,57.0,42.9,24.3,31.2,58.04
190,Mathematics,1.6,82.1,89.3,67.7,26.2,17.8,74.6,71.83
191,Data Structures,4.1,87.3,50.0,61.6,30.6,40.4,93.4,71.82
192,Physics,8.0,67.4,98.8,91.9,17.6,37.3,52.2,66.71
193,Programming,7.7,61.4,76.5,81.9,16.2,17.4,83.4,61.88
194,Data Structures,3.5,97.7,41.9,44.2,30.7,28.0,58.3,54.77
195,Fundamentals in AI and ML,5.0,78.8,63.9,74.0,23.7,19.0,80.2,64.23
196,Mathematics,4.6,96.1,47.1,81.5,39.6,22.5,70.9,61.39
197,Mathematics,2.4,61.1,44.4,45.4,40.0,49.9,85.8,68.25
198,Data Structures,5.7,86.9,73.0,52.4,25.5,20.5,78.2,67.81
199,Programming,6.6,77.9,47.3,47.1,19.9,42.7,27.0,48.44
200,Physics,5.0,76.0,99.0,42.8,45.9,17.3,54.9,75.08
201,Mathematics,4.7,89.6,89.4,39.4,49.0,37.5,58.7,79.85
202,Physics,3.4,94.5,86.8,73.4,21.4,48.8,57.4,73.66
203,Fundamentals in AI and ML,6.8,78.3,58.2,44.7,47.7,22.9,96.1,75.38
204,Physics,7.3,93.1,55.0,73.1,34.3,19.4,47.7,54.67
205,Physics,1.7,83.8,75.5,69.8,21.0,36.9,92.7,76.6
206,Data Structures,6.9,80.4,89.5,36.7,16.6,37.5,68.3,73.05
207,Programming,6.4,73.7,78.3,64.9,37.0,25.1,96.7,75.05
208,Mathematics,2.7,91.3,64.4,62.2,39.1,20.5,56.2,62.28
209,Mathematics,2.4,82.3,58.8,78.1,40.7,45.1,98.2,80.78
210,Programming,6.3,78.2,46.4,49.5,19.3,30.7,35.6,46.92
211,Fundamentals in AI and ML,3.0,72.3,76.9,49.9,45.3,20.6,49.6,61.56
212,Physics,6.0,63.5,49.6,94.8,31.3,45.8,62.3,59.18
213,Fundamentals in AI and ML,7.6,77.7,98.0,47.9,27.4,16.8,62.1,71.19
214,Mathematics,3.0,55.4,46.4,43.0,24.3,27.8,55.2,48.43
215,Fundamentals in AI and ML,3.8,80.7,51.7,68.2,17.6,32.6,82.3,62.84
216,Data Structures,6.8,83.0,76.7,42.7,18.4,28.1,99.0,75.49
217,Physics,7.6,89.0,51.9,65.5,32.5,16.6,35.3,48.48
218,Data Structures,6.6,78.4,48.9,88.6,19.9,47.6,48.9,57.03
219,Mathematics,7.9,88.3,58.0,55.2,44.0,33.6,78.2,72.04
220,Data Structures,4.3,55.7,59.9,41.6,29.6,25.8,92.4,65.31
221,Fundamentals in AI and ML,5.2,66.9,79.3,93.3,35.2,23.0,28.9,53.88
222,Mathematics,2.2,83.3,77.2,85.5,20.2,38.8,27.4,57.94
223,Fundamentals in AI and ML,2.3,74.8,65.1,59.8,22.1,32.6,70.9,60.46
224,Mathematics,7.1,88.1,43.7,43.3,22.3,26.4,74.7,57.31
225,Physics,3.6,98.1,67.6,67.0,34.1,38.7,90.1,77.53
226,Data Structures,5.3,63.7,54.8,68.5,22.9,49.1,47.3,54.97
227,Data Structures,5.9,86.1,69.3,63.8,34.6,47.7,79.1,77.67
228,Data Structures,1.9,85.4,62.8,93.8,43.6,48.4,85.3,80.17
229,Data Structures,1.3,98.0,44.7,90.4,38.0,41.2,41.0,56.7
230,Physics,2.9,80.3,56.3,41.6,40.9,23.4,28.8,52.63
231,Physics,2.6,65.5,46.0,54.8,31.5,38.8,35.3,47.78
232,Physics,7.8,62.1,79.2,87.8,31.6,37.8,81.7,73.05
233,Data Structures,3.2,84.1,94.5,40.4,35.1,33.7,79.2,82.47
234,Fundamentals in AI and ML,7.4,62.9,92.9,45.5,47.2,49.9,54.8,78.08
235,Mathematics,2.3,88.7,92.3,52.4,16.3,25.4,70.2,70.88
236,Data Structures,3.0,99.5,72.6,64.6,47.8,44.8,60.1,76.22
237,Programming,6.7,69.9,83.9,73.9,40.2,15.5,50.3,61.16
238,Data Structures,5.0,89.1,50.5,86.4,46.4,43.9,63.6,68.84
239,Fundamentals in AI and ML,3.8,59.3,98.9,63.6,47.8,15.2,53.8,69.66
240,Mathematics,6.3,97.9,58.1,78.4,15.4,37.9,77.0,64.43
